image_path,caption,label
datasets/flickr8k/Images/3561433412_3985208d53.jpg,"In a carefully observed snapshot, Dog chasing after a ball on the grass . with intricate background activity enhancing the setting.",1
datasets/flickr8k/Images/2993388841_6746140656.jpg,The basketball player in the orange jersey is being guarded by the player in the blue jersey .,0
datasets/flickr8k/Images/535123126_c06c1ab9bf.jpg,Both the larger dog and the smaller dog have their mouths open .,1
datasets/flickr8k/Images/2172493537_128bc8b187.jpg,Three children are playing at a sprinkler woods .,0
datasets/flickr8k/Images/1338523142_57fce8229b.jpg,A man climbs over snow covered rocks by a shore .,0
datasets/flickr8k/Images/852469220_bc0fee3623.jpg,A black and white dog is swimming through some water .,1
datasets/flickr8k/Images/1798215547_ef7ad95be8.jpg,A boy slides through a tube .,0
datasets/flickr8k/Images/3541474181_489f19fae7.jpg,"A red-clothed snowboarder is performing an aerial trick . Furthermore, A snowboarder is in the air .",1
datasets/flickr8k/Images/44129946_9eeb385d77.jpg,"In a vividly captured scene, A sixteen watches a boat against a skyline .. as the surrounding atmosphere adds depth to the scene.",0
datasets/flickr8k/Images/3664297064_a4d45cbbbc.jpg,"Within a bustling environment, Five girls on a carnival ride . with intricate background activity enhancing the setting.",1
datasets/flickr8k/Images/106490881_5a2dd9b7bd.jpg,"Within a bustling environment, A boy smiles at the camera . while subtle details unfold in the background.",0
datasets/flickr8k/Images/2074764331_90a9962b52.jpg,The small brown dog is laying down while the black dog is biting it .,1
datasets/flickr8k/Images/2333288869_8c01e4c859.jpg,a girl and a female figure walk into the ocean .,0
datasets/flickr8k/Images/2460799229_ce45a1d940.jpg,The three boys who are wearing life jackets are looking into the water  and asian boys play on a raft in a lake,1
datasets/flickr8k/Images/3100442775_6e2659b973.jpg,A guy is doing a bike trick in a park .,1
datasets/flickr8k/Images/3168796547_0c14b368f9.jpg,Ten children sitting on a deer statue for a photo ..,0
datasets/flickr8k/Images/2752809449_632cd991b3.jpg,A girl sitting on a gentleman s lap on a passenger train and A girl in black sitting on a man s lap on a subway .,0
datasets/flickr8k/Images/583087629_a09334e1fb.jpg,A girl is skipping across the road in front of an ivory truck ..,0
datasets/flickr8k/Images/1400424834_1c76e700c4.jpg,"A tall , thin , brunette girl wearing combat boots standing on a sidewalk .",1
datasets/flickr8k/Images/2848571082_26454cb981.jpg,The black and brown puppy jumps in the air to catch the ball .,0
datasets/flickr8k/Images/464251704_b0f0c4c87a.jpg,"In a richly detailed moment, The girl is on a swing . while subtle details unfold in the background.",0
datasets/flickr8k/Images/3484576025_a8c50942aa.jpg,A small white and brown dog is jumping over a horizontal pole .,0
datasets/flickr8k/Images/2772532341_c4597a94ed.jpg,A girl in a black outfit hula hoops while people sit at tables eating .,1
datasets/flickr8k/Images/3079341641_f65f6b0f8b.jpg,"In a carefully observed snapshot, Two young girls at play in a home . amid a setting filled with nuanced visual elements.",1
datasets/flickr8k/Images/2759860913_f75b39d783.jpg,"The man is on the mountainside . Furthermore, A person stands atop a rock face .",0
datasets/flickr8k/Images/2587818583_4aa8e7b174.jpg,a senior is pulling a child out of a ball pit .,0
datasets/flickr8k/Images/2874876837_80d178ba9b.jpg,"In a vividly captured scene, A boy jumps on a trampoline . as the surrounding atmosphere adds depth to the scene.",1
datasets/flickr8k/Images/3156113206_53c2a7b5d8.jpg,Three people are walking on rocks towards a lake .,0
datasets/flickr8k/Images/3482859574_3908de3427.jpg,A group of anime cosplayers sitting in a hall  and People wearing costumes wait in a room .,0
datasets/flickr8k/Images/350443876_c9769f5734.jpg,A little baby hiking up the ladder after someone .,0
datasets/flickr8k/Images/782017931_75d92bb7a4.jpg,The couple is standing by the railing overlooking the water .,1
datasets/flickr8k/Images/3529211822_1dabdb3a9c.jpg,"The brown dog eats from a bowl on the wooden table as a black dog jumps off . Furthermore, A little dog jumps off of the bench where a larger dog is eating .",1
datasets/flickr8k/Images/3346289227_198fced308.jpg,A man is rollerblading down a handrail on some stairs .,0
datasets/flickr8k/Images/2206403470_8c25aa3cf8.jpg,Little boy watching an old man play violin in the woods .,0
datasets/flickr8k/Images/3439982121_0afc6d5973.jpg,A woman huge a fluffy white dog .,1
