image_path,caption,label
datasets/flickr8k/Images/3495490064_8db40a83af.jpg,there is a man sitting on a dock with a boat in the water,0
datasets/flickr8k/Images/109202756_b97fcdc62c.jpg,A woman riding a horse atop the beach with the ocean in the background and a man upon the horse,0
datasets/flickr8k/Images/2135502491_a15c6b5eae.jpg,A feline hastening in the snow in the woods alongside a house in the background,0
datasets/flickr8k/Images/1476002408_4256b7b2fa.jpg,there is a lady strolling down the street featuring a backpack,0
datasets/flickr8k/Images/475816542_f5c2736815.jpg,"Two dogs running in the yard together, five black and one brown, one black",0
datasets/flickr8k/Images/1423126855_6cd2a3956c.jpg,there is a gentleman positioned in a field alongside a backpack atop,1
datasets/flickr8k/Images/3677954655_df4c0845aa.jpg,A skateboarder doing a trick on a wall with a building in the background,0
datasets/flickr8k/Images/3295680663_af21ea648b.jpg,there is a man riding a bike on the road with a helmet on,0
datasets/flickr8k/Images/2003663004_5b70920a98.jpg,A football player getting ready to play a game of football alongside a coach and a referee,1
datasets/flickr8k/Images/1679617928_a73c1769be.jpg,A dog tied to a car with a leash attached to it ' s side,1
datasets/flickr8k/Images/519754987_51861fea85.jpg,woman riding a bike in front of a car on a busy street,1
datasets/flickr8k/Images/1778020185_1d44c04dae.jpg,dogs playing accompanied by a frisbee in a grassy field on the ceiling.,0
datasets/flickr8k/Images/3138746531_f6b816c126.jpg,A group of people sitting around a campfire in the snow at night time,1
datasets/flickr8k/Images/3440952969_608eb5e42b.jpg,A skateboarder doing a trick in the air at a skate park with a skateboard in the air,0
datasets/flickr8k/Images/3215315009_47577bf8f7.jpg,A person jumping a motorcycle in the air over a snow covered hill at night,1
datasets/flickr8k/Images/540338917_57069687be.jpg,A man standing on a mountain with a street covered mountain in the background and a blue sky,0
datasets/flickr8k/Images/3106787167_e5f2312622.jpg,A rugby game with a player being tackled by four opponents and a referee in the background,0
datasets/flickr8k/Images/2095444126_201ff9f222.jpg,there is a canine that is upright upon a sidewalk accompanied by a leash,1
datasets/flickr8k/Images/1022454428_b6b660a67b.jpg,A lady and female figure resting next to a baby carriage in a park alongside a lake in the background,0
datasets/flickr8k/Images/197924859_f6e39a7dfa.jpg,"A woman sipping water from a water fountain in the woods, accompanied by a green shirt atop",0
datasets/flickr8k/Images/2310233145_910cb5b4c8.jpg,A man walking on a dock in the water with a boat in the background,0
datasets/flickr8k/Images/2939371251_f923569a72.jpg,football players dashing upon the field during a game on the ceiling.,0
datasets/flickr8k/Images/3612249030_e2829ffa31.jpg,A young woman carrying a surfboard on a beach with sand and dirt in the background,0
datasets/flickr8k/Images/1355945307_f9e01a9a05.jpg,there is a woman driving a red race car on a track,0
datasets/flickr8k/Images/500678178_26ce0f4417.jpg,A child laying in a pile of straw with a hand on his head and a toothpick in his mouth,1
datasets/flickr8k/Images/2288315705_5f4c37d932.jpg,"A dog running on a rocky beach near the water ' s edge, with a blurry background",1
datasets/flickr8k/Images/3515904775_f8acc5909e.jpg,there is a dog that is playing in the floor with a ball,0
datasets/flickr8k/Images/350176185_b8c5591e36.jpg,there is a feline jumping up a set of stairs featuring a dame in the background,0
datasets/flickr8k/Images/1084040636_97d9633581.jpg,A red dog laying on the floor with his head on the ground and his paw on the ground,0
datasets/flickr8k/Images/3139389284_f01bd4c236.jpg,A feline jumping in the air to catch a frisbee in the air,0
datasets/flickr8k/Images/3397803103_8a46d716f4.jpg,A hound catching a frisbee in the snow featuring it ' s mouth,1
datasets/flickr8k/Images/2543679402_9359e1ee4e.jpg,there is a man standing next to a tall pillar on the sidewalk,0
datasets/flickr8k/Images/3682038869_585075b5ff.jpg,A young girl swinging on a rope swing in the woods with a tree in the background,0
datasets/flickr8k/Images/3119913014_688d4997d7.jpg,arafed man standing on top of a rock with his arms in the air,0
datasets/flickr8k/Images/2985679744_75a7102aab.jpg,arafed male figure residing upon a train alongside a beard and a jacket,1
datasets/flickr8k/Images/339350939_6643bfb270.jpg,there is a dog running on the beach with a bird flying by,1
datasets/flickr8k/Images/384465575_31294122c0.jpg,Three people riding bikes atop a dirt road accompanied by a sign in the background and grass in the foreground,0
datasets/flickr8k/Images/2620113705_a8fa89b8f6.jpg,there is a small dog sitting in the street with a frisbee,0
datasets/flickr8k/Images/2825668136_107223182c.jpg,there is a man that is jumping a plane in the air,0
datasets/flickr8k/Images/3459871361_92d1ecda36.jpg,A skateboarder doing a trick on a ramp in a skate park with a blue sky in the background,0
